PITCHERS,Team,G,GS,IP,W,L,SV,H,BB,K,ER,ERA,WHIP
"Nippert,  Dustin",TEX,38,2,56.7,4,5,0,61,34,47,27,4.288,1.676
"Nolasco,  Ricky",FLA,26,26,157.7,14,9,0,169,33,147,79,4.510,1.281
"Norberto,  Jordan",AZ,33,0,20.0,0,2,0,16,22,15,13,5.850,1.900
"Norris,  Bud",HOU,27,27,153.7,9,10,0,151,77,158,84,4.920,1.484
"Nova,  Ivan",NYY,10,7,42.0,1,2,0,44,17,26,21,4.500,1.452
"Nunez,  Leo",FLA,68,0,65.0,4,3,30,62,21,71,25,3.462,1.277
"O'Day,  Darren",TEX,72,0,62.0,6,2,0,43,12,45,14,2.032,0.887
"O'Flaherty,  Eric",ATL,56,0,43.7,3,2,0,36,18,35,12,2.473,1.237
"Ogando,  Alexi",TEX,44,0,41.7,4,1,0,31,16,39,6,1.296,1.128
"Ohlendorf,  Ross",PIT,21,21,108.3,1,11,0,106,44,79,49,4.071,1.385
"Ohman,  Will",FLA,68,0,42.0,0,2,0,40,23,43,15,3.214,1.500
"Okajima,  Hideki",BOS,56,0,46.0,4,4,0,59,20,33,23,4.500,1.717
"Oliver,  Andrew",DET,5,5,22.0,0,4,0,26,13,18,18,7.364,1.773
"Oliver,  Darren",TEX,64,0,61.7,1,2,1,53,15,65,17,2.481,1.103
"Olsen,  Scott",WSH,17,15,81.0,4,8,0,93,27,53,50,5.556,1.481
"Olson,  Garrett",SEA,35,0,37.7,0,3,1,42,15,31,19,4.540,1.513
"Ondrusek,  Logan",CIN,60,0,58.7,5,0,0,49,20,39,24,3.682,1.176
"Ortiz,  Ramon",NYM,16,2,30.0,1,2,0,33,16,21,21,6.300,1.633
"Ortiz,  Russ",LAD,6,0,7.0,0,1,0,10,5,6,8,10.286,2.143
"O'Sullivan,  Sean",KC,19,14,83.7,4,6,0,90,31,43,51,5.486,1.446
"Oswalt,  Roy",PHI,33,32,211.7,13,13,0,162,55,193,65,2.764,1.025
"Ottavino,  Adam",STL,5,3,22.3,0,2,0,37,9,12,21,8.463,2.060
"Owings,  Micah",CIN,22,0,33.3,3,2,0,28,25,35,20,5.400,1.590
"Padilla,  Vicente",LAD,16,16,95.0,6,5,0,79,24,84,43,4.074,1.084
"Palmer,  Matt",LAA,14,1,33.7,1,2,0,38,20,17,17,4.545,1.723
"Papelbon,  Jonathan",BOS,65,0,67.0,5,7,37,57,28,76,29,3.896,1.269
"Park,  Chan Ho",PIT,53,0,63.7,4,3,0,65,19,52,33,4.665,1.319
"Parnell,  Bobby",NYM,41,0,35.0,0,1,0,41,8,33,11,2.829,1.400
"Parra,  Manny",MIL,42,16,122.0,3,10,0,135,63,129,68,5.016,1.623
"Parrish,  John",KC,9,0,6.0,1,1,0,4,5,4,2,3.000,1.500
"Patton,  Troy",BAL,1,0,0.7,0,0,0,1,1,1,0,0.000,3.000
"Pauley,  David",BAL,19,15,90.7,4,9,0,89,30,51,41,4.070,1.312
"Paulino,  Felipe",HOU,19,14,91.7,1,9,0,95,46,83,52,5.105,1.538
"Pavano,  Carl",MIN,32,32,221.0,17,11,0,227,37,117,92,3.747,1.195
"Peavy,  Jake",CHW,17,17,107.0,7,6,0,98,34,93,55,4.626,1.234
"Pelfrey,  Mike",NYM,34,33,204.0,15,9,1,213,68,113,83,3.662,1.377
"Pena,  Tony",CHW,52,3,100.7,5,3,0,108,45,56,57,5.096,1.520
"Penn,  Hayden",PIT,3,0,2.3,0,0,0,8,3,0,8,30.858,4.714
"Penny,  Brad",STL,9,9,55.7,3,4,0,63,9,35,20,3.234,1.293
"Peralta,  Joel",WSH,39,0,49.0,1,0,0,30,9,49,11,2.020,0.796
"Perdomo,  Luis",SD,1,0,1.0,0,0,0,1,0,0,1,9.000,1.000
"Perez,  Chris",CLE,63,0,63.0,2,2,23,40,28,61,12,1.714,1.079
"Perez,  Oliver",NYM,17,7,46.3,0,5,0,54,42,37,35,6.799,2.072
"Perez,  Rafael",CLE,70,0,61.0,6,1,0,72,25,36,22,3.246,1.590
"Perkins,  Glen",MIN,13,1,21.7,1,1,0,29,5,14,14,5.815,1.569
"Perry,  Ryan",DET,60,0,62.7,3,5,2,55,23,45,25,3.590,1.245
"Pestano,  Vinnie",CLE,5,0,5.0,0,0,1,4,5,8,2,3.600,1.800
"Pettitte,  Andy",NYY,21,21,129.0,11,3,0,123,41,101,47,3.279,1.271
"Pineiro,  Joel",LAA,23,23,152.3,10,7,0,155,34,92,65,3.840,1.241
"Pinto,  Renyel",STL,20,0,16.7,0,0,0,16,9,16,5,2.700,1.500
"Porcello,  Rick",DET,27,27,162.7,10,12,0,188,38,84,89,4.924,1.389
"Price,  David",TB,32,31,208.7,19,6,0,170,79,188,63,2.717,1.193
"Proctor,  Scott",ATL,6,0,5.7,0,0,0,4,4,6,4,6.353,1.412
"Purcey,  David",TOR,33,0,34.0,1,1,1,26,15,32,14,3.706,1.206
"Putz,  J.J.",CHW,60,0,54.0,7,5,3,41,15,65,17,2.833,1.037
"Qualls,  Chad",TB,70,0,59.0,3,4,12,85,21,49,48,7.322,1.797
"Ramirez,  Edwar",OAK,7,0,11.0,1,0,0,9,10,10,6,4.909,1.727
"Ramirez,  Ramon",BOS,70,0,71.3,1,3,3,52,27,48,23,2.902,1.107
"Ramos,  Cesar",SD,14,0,8.3,0,1,0,18,4,9,11,11.880,2.640
"Rapada,  Clay",TEX,13,0,9.0,0,0,0,6,7,5,4,4.000,1.444
"Rauch,  Jon",MIN,59,0,57.7,3,1,21,61,14,46,20,3.121,1.301
"Ray,  Chris",SF,63,0,55.7,5,0,2,48,25,31,23,3.719,1.311
"Ray,  Robert",TOR,3,0,3.7,0,0,0,2,5,3,1,2.455,1.909
"Resop,  Chris",PIT,23,0,21.0,0,0,0,15,13,26,9,3.857,1.333
"Reyes,  Dennys",STL,59,0,38.0,3,1,1,34,21,25,15,3.553,1.447
"Reyes,  Jo-Jo",TOR,1,0,3.3,0,0,0,10,3,2,9,24.300,3.900
"Reynolds,  Matt",FLA,21,0,18.0,1,0,0,10,5,17,4,2.000,0.833
"Rhodes,  Arthur",CIN,70,0,55.0,4,4,0,38,18,50,14,2.291,1.018
"Richard,  Clayton",SD,33,33,201.7,14,9,0,206,78,153,84,3.749,1.408
"Richardson,  Dustin",BOS,26,0,13.0,0,0,0,15,14,12,6,4.154,2.231
"Rincon,  Juan",COL,2,0,2.0,0,0,0,3,2,3,1,4.500,2.500
"Ring,  Royce",NYY,5,0,2.3,0,0,0,3,2,2,4,15.429,2.143
"Riske,  David",FA,23,0,23.3,0,0,0,25,8,16,13,5.014,1.414
"Rivera,  Mariano",NYY,60,0,59.0,3,3,32,39,11,45,12,1.831,0.847
"Rivera,  Saul",AZ,4,0,3.7,0,0,0,11,3,1,9,22.091,3.818
"Robertson,  David",NYY,64,0,61.3,4,5,1,59,33,71,26,3.815,1.500
"Robertson,  Nate",PHI,21,18,101.3,6,8,0,115,42,63,67,5.951,1.549
"Rodney,  Fernando",LAA,72,0,68.0,4,3,14,69,35,53,31,4.103,1.529
"Rodriguez,  Francisco",NYM,66,0,71.3,3,4,14,69,37,63,31,3.911,1.486
"Rodriguez,  Francisco",LAA,30,0,33.3,2,1,11,22,10,40,6,1.620,0.960
"Rodriguez,  Henry",OAK,29,0,27.7,1,0,0,25,13,33,14,4.554,1.373
"Rodriguez,  Rafael ",AZ,3,0,4.7,0,0,0,5,3,3,3,5.786,1.714
"Rodriguez,  Wandy",HOU,32,32,195.0,11,12,0,184,68,178,79,3.646,1.292
"Roenicke,  Josh",TOR,16,0,19.0,1,0,0,18,13,18,12,5.684,1.632
"Rogers,  Esmil",COL,28,8,72.0,2,3,0,94,26,66,49,6.125,1.667
"Rogers,  Mark",MIL,4,2,10.0,0,0,0,2,3,11,2,1.800,0.500
"Romero,  J.C.",PHI,60,0,36.7,1,0,3,30,29,28,15,3.682,1.609
"Romero,  Ricky",TOR,32,32,210.0,14,9,0,189,82,174,87,3.729,1.290
"Romo,  Sergio",SF,68,0,62.0,5,3,0,46,14,70,15,2.177,0.968
"Rosa,  Carlos",AZ,22,0,20.0,0,2,0,20,12,9,10,4.500,1.600
"Rosales,  Leo",AZ,16,0,16.3,2,0,0,25,9,12,13,7.163,2.082
"Rosario,  Sandy",FLA,2,0,1.0,0,0,0,9,1,0,6,54.000,10.000
"Ross,  Tyson",OAK,26,2,39.3,1,4,1,39,20,32,24,5.492,1.500
"Rowland-Smith,  Ryan",SEA,27,20,109.3,1,10,0,141,44,49,82,6.750,1.692
"Runzler,  Dan",SF,41,0,32.7,3,0,0,29,20,37,11,3.031,1.500
"Rupe,  Josh",KC,11,0,9.7,1,1,0,14,7,8,6,5.586,2.172
"Russell,  Adam",SD,12,0,15.7,0,0,0,14,5,18,7,4.021,1.213
"Russell,  James",CHC,57,0,49.0,1,1,0,56,11,42,28,5.143,1.367
"Rzepczynski,  Marc",TOR,14,12,63.7,4,4,0,72,30,57,35,4.948,1.602
"Sabathia,  C.C.",NYY,34,34,237.7,21,7,0,209,74,197,84,3.181,1.191
"Saito,  Takashi",ATL,55,0,52.7,2,3,1,39,16,66,17,2.905,1.044
"Salas,  Fernando",STL,27,0,30.7,0,0,0,28,15,29,12,3.522,1.402
"Sale,  Chris",CHW,21,0,23.3,2,1,4,15,10,32,5,1.929,1.071
"Samardzija,  Jeff",CHC,7,3,19.3,2,2,0,21,20,9,18,8.379,2.121
"Sampson,  Chris",HOU,35,0,30.3,1,0,0,43,8,16,20,5.934,1.681
"Sanches,  Brian",FLA,61,0,63.7,2,2,0,43,27,54,16,2.262,1.099
"Sanchez,  Anibal",FLA,32,32,195.0,13,12,0,192,70,157,77,3.554,1.344
"Sanchez,  Jonathan",SF,34,33,193.0,13,9,0,142,96,205,66,3.078,1.233
"Sanchez,  Romulo",NYY,2,0,4.3,0,0,0,1,3,5,0,0.000,0.923
"Santana,  Ervin",LAA,33,33,222.7,17,10,0,221,73,169,97,3.921,1.320
"Santana,  Johan",NYM,29,29,199.0,11,9,0,179,55,144,66,2.985,1.176
"Santos,  Sergio",CHW,56,0,51.7,2,2,1,53,26,56,17,2.961,1.529
"Saunders,  Joe",AZ,33,33,203.3,9,17,0,232,64,114,101,4.470,1.456
"Sborz,  Jay",DET,1,0,0.7,0,0,0,3,0,1,5,67.497,4.500
"Scherzer,  Max",DET,31,31,195.7,12,11,0,174,70,184,76,3.496,1.247
"Schlereth,  Daniel",DET,18,0,18.7,2,0,1,20,10,19,6,2.893,1.607
"Schlichting,  Travis",LAD,14,0,22.7,1,0,0,20,10,14,9,3.574,1.324
"Schlitter,  Brian",CHC,7,0,8.0,0,1,0,18,5,7,11,12.375,2.875
"Schoeneweis,  Scott",BOS,15,0,13.7,1,0,0,19,10,13,12,7.902,2.122
"Seddon,  Chris",SEA,14,0,22.3,1,0,0,21,10,16,14,5.642,1.388
"Sheets,  Ben",OAK,20,20,119.3,4,9,0,123,43,84,60,4.525,1.391
"Sherrill,  George",LAD,65,0,36.3,2,2,0,46,24,25,27,6.688,1.927
"Shields,  James",TB,35,34,210.0,14,15,0,255,52,194,121,5.186,1.462
"Shields,  Scot",LAA,43,1,46.0,0,3,0,45,34,39,27,5.283,1.717
"Silva,  Carlos",CHC,21,21,113.0,10,6,0,120,24,80,53,4.221,1.274
"Simon,  Alfredo",BAL,49,0,49.3,4,2,17,54,22,37,27,4.926,1.541
"Sinkbeil,  Brett",FLA,3,0,2.0,0,0,0,2,5,1,3,13.500,3.500
"Sipp,  Tony",CLE,70,0,63.0,2,2,1,48,39,69,29,4.143,1.381
"Slama,  Anthony",MIN,5,0,4.7,0,1,0,6,5,5,4,7.714,2.357
"Slaten,  Doug",WSH,49,0,40.7,4,1,0,34,19,36,14,3.098,1.303
"Slowey,  Kevin",MIN,30,28,155.7,13,6,0,172,29,116,77,4.452,1.291
"Smith,  Chris",MIL,3,0,3.3,0,0,0,4,1,4,2,5.400,1.500
"Smith,  Greg",COL,8,8,39.0,1,2,0,49,24,31,27,6.231,1.872
"Smith,  Joe",CLE,53,0,40.0,2,2,0,30,24,32,17,3.825,1.350
"Smith,  Jordan",CIN,37,0,42.0,3,2,1,45,11,26,18,3.857,1.333
"Snell,  Ian",SEA,12,8,46.3,0,5,0,60,25,26,33,6.410,1.835
"Sonnanstine,  Andrew",TB,42,4,81.0,3,1,1,84,27,50,41,4.556,1.370
"Soria,  Joakim",KC,66,0,65.7,1,2,43,53,16,71,13,1.782,1.051
"Soriano,  Rafael",TB,64,0,62.3,3,2,45,36,14,57,12,1.733,0.802
"Sosa,  Jorge",FLA,22,2,36.7,2,3,0,39,18,19,19,4.664,1.555
"Springer,  Russ",CIN,2,0,1.7,0,0,0,2,0,1,1,5.400,1.200
"Stammen,  Craig",WSH,35,19,128.0,4,4,0,151,41,85,73,5.133,1.500
"Stange,  Daniel",AZ,4,0,4.0,0,0,0,4,6,2,6,13.500,2.500
"Stauffer,  Tim",SD,32,7,82.7,6,5,0,65,24,61,17,1.851,1.077
"Stetter,  Mitch",MIL,9,0,3.7,0,0,0,7,3,3,6,14.728,2.727
"Stevens,  Jeff",CHC,18,0,18.7,0,0,0,21,10,15,12,5.786,1.661
"Stokes,  Brian",FA,16,0,16.7,0,0,0,26,16,16,15,8.100,2.520
"Stoner,  Tobi",NYM,1,0,2.3,0,1,0,3,1,0,1,3.857,1.714
"Storen,  Drew",WSH,54,0,55.3,4,4,5,48,22,52,22,3.578,1.265
"Strasburg,  Stephen",WSH,12,12,68.0,5,3,0,56,17,92,22,2.912,1.074
"Street,  Huston",COL,44,0,47.3,4,4,20,39,11,45,19,3.613,1.056
